task_id,surface,adsorbate,seed,calculator
272,Ni110,isopropanol,2,sevennet_omni
273,Ni110,CO2,0,sevennet_omni
274,Ni110,CO2,1,sevennet_omni
275,Ni110,CO2,2,sevennet_omni
276,Ni110,ethanol,0,sevennet_omni
277,Ni110,ethanol,1,sevennet_omni
278,Ni110,ethanol,2,sevennet_omni
279,Ni110,ethene,0,sevennet_omni
280,Ni110,ethene,1,sevennet_omni
281,Ni110,ethene,2,sevennet_omni
282,Ni110,ethane,0,sevennet_omni
283,Ni110,ethane,1,sevennet_omni
284,Ni110,ethane,2,sevennet_omni
285,Ni110,propane,0,sevennet_omni
286,Ni110,propane,1,sevennet_omni
287,Ni110,propane,2,sevennet_omni
288,Ni110,propene,0,sevennet_omni
289,Ni110,propene,1,sevennet_omni
290,Ni110,propene,2,sevennet_omni
291,Ni110,propanol,0,sevennet_omni
292,Ni110,propanol,1,sevennet_omni
293,Ni110,propanol,2,sevennet_omni
294,Ni110,glycerol,0,sevennet_omni
295,Ni110,glycerol,1,sevennet_omni
296,Ni110,glycerol,2,sevennet_omni
297,Ni100,isopropanol,0,sevennet_omni
298,Ni100,isopropanol,1,sevennet_omni
299,Ni100,isopropanol,2,sevennet_omni
300,Ni100,CO2,0,sevennet_omni
301,Ni100,CO2,1,sevennet_omni
302,Ni100,CO2,2,sevennet_omni
303,Ni100,ethanol,0,sevennet_omni
304,Ni100,ethanol,1,sevennet_omni
305,Ni100,ethanol,2,sevennet_omni
306,Ni100,ethene,0,sevennet_omni
307,Ni100,ethene,1,sevennet_omni
308,Ni100,ethene,2,sevennet_omni
309,Ni100,ethane,0,sevennet_omni
310,Ni100,ethane,1,sevennet_omni
311,Ni100,ethane,2,sevennet_omni
312,Ni100,propane,0,sevennet_omni
313,Ni100,propane,1,sevennet_omni
314,Ni100,propane,2,sevennet_omni
315,Ni100,propene,0,sevennet_omni
316,Ni100,propene,1,sevennet_omni
317,Ni100,propene,2,sevennet_omni
318,Ni100,propanol,0,sevennet_omni
319,Ni100,propanol,1,sevennet_omni
320,Ni100,propanol,2,sevennet_omni
321,Ni100,glycerol,0,sevennet_omni
322,Ni100,glycerol,1,sevennet_omni
323,Ni100,glycerol,2,sevennet_omni
324,Ag111,isopropanol,0,sevennet_omni
325,Ag111,isopropanol,1,sevennet_omni
326,Ag111,isopropanol,2,sevennet_omni
327,Ag111,CO2,0,sevennet_omni
328,Ag111,CO2,1,sevennet_omni
329,Ag111,CO2,2,sevennet_omni
330,Ag111,ethanol,0,sevennet_omni
331,Ag111,ethanol,1,sevennet_omni
332,Ag111,ethanol,2,sevennet_omni
333,Ag111,ethene,0,sevennet_omni
334,Ag111,ethene,1,sevennet_omni
335,Ag111,ethene,2,sevennet_omni
336,Ag111,ethane,0,sevennet_omni
337,Ag111,ethane,1,sevennet_omni
338,Ag111,ethane,2,sevennet_omni
339,Ag111,propane,0,sevennet_omni
340,Ag111,propane,1,sevennet_omni
341,Ag111,propane,2,sevennet_omni
342,Ag111,propene,0,sevennet_omni
343,Ag111,propene,1,sevennet_omni
344,Ag111,propene,2,sevennet_omni
345,Ag111,propanol,0,sevennet_omni
346,Ag111,propanol,1,sevennet_omni
347,Ag111,propanol,2,sevennet_omni
348,Ag111,glycerol,0,sevennet_omni
349,Ag111,glycerol,1,sevennet_omni
350,Ag111,glycerol,2,sevennet_omni
351,Ag110,isopropanol,0,sevennet_omni
352,Ag110,isopropanol,1,sevennet_omni
353,Ag110,isopropanol,2,sevennet_omni
354,Ag110,CO2,0,sevennet_omni
355,Ag110,CO2,1,sevennet_omni
356,Ag110,CO2,2,sevennet_omni
357,Ag110,ethanol,0,sevennet_omni
358,Ag110,ethanol,1,sevennet_omni
359,Ag110,ethanol,2,sevennet_omni
360,Ag110,ethene,0,sevennet_omni
361,Ag110,ethene,1,sevennet_omni
362,Ag110,ethene,2,sevennet_omni
363,Ag110,ethane,0,sevennet_omni
364,Ag110,ethane,1,sevennet_omni
365,Ag110,ethane,2,sevennet_omni
366,Ag110,propane,0,sevennet_omni
367,Ag110,propane,1,sevennet_omni
368,Ag110,propane,2,sevennet_omni
369,Ag110,propene,0,sevennet_omni
370,Ag110,propene,1,sevennet_omni
371,Ag110,propene,2,sevennet_omni
372,Ag110,propanol,0,sevennet_omni
373,Ag110,propanol,1,sevennet_omni
374,Ag110,propanol,2,sevennet_omni
