task_id,surface,adsorbate,seed,calculator,state,E_ads_eV,E_ads_pre_relax_eV,best_seed,run_dir,started_at,finished_at
265,Pt110,propanol,1,sevennet_omni,finished,-0.8775100708007812,-0.7321548461914062,1,/home/jcho5/goad-global-optimization/runs/Pt110_propanol_seed1_sevennet_omni,2026-06-20T01:52:30.914725,2026-06-20T02:32:31.831965
266,Pt110,propanol,2,sevennet_omni,finished,-0.8529205322265625,-0.5646820068359375,2,/home/jcho5/goad-global-optimization/runs/Pt110_propanol_seed2_sevennet_omni,2026-06-20T01:52:30.916216,2026-06-20T02:33:37.179820
267,Pt110,propanol,3,sevennet_omni,finished,-0.8603591918945312,-0.7651748657226562,3,/home/jcho5/goad-global-optimization/runs/Pt110_propanol_seed3_sevennet_omni,2026-06-20T01:52:30.915204,2026-06-20T02:31:21.257405
268,Pt110,propanol,4,sevennet_omni,finished,-0.8512649536132812,-0.6957778930664062,4,/home/jcho5/goad-global-optimization/runs/Pt110_propanol_seed4_sevennet_omni,2026-06-20T01:52:30.909230,2026-06-20T02:33:55.948640
269,Pt110,propanol,5,sevennet_omni,finished,-0.730438232421875,-0.63421630859375,5,/home/jcho5/goad-global-optimization/runs/Pt110_propanol_seed5_sevennet_omni,2026-06-20T01:52:30.908284,2026-06-20T02:33:27.527891
276,Pt100,CO2,0,sevennet_omni,finished,-0.5090045928955078,-0.5027179718017578,0,/home/jcho5/goad-global-optimization/runs/Pt100_CO2_seed0_sevennet_omni,2026-06-19T02:31:43.250987,2026-06-19T02:47:43.531962
276,Pt110,isopropanol,0,sevennet_omni,finished,-0.8722496032714844,-0.7865562438964844,0,/home/jcho5/goad-global-optimization/runs/Pt110_isopropanol_seed0_sevennet_omni,2026-06-20T01:57:44.132905,2026-06-20T02:38:32.591602
277,Pt100,CO2,1,sevennet_omni,finished,-0.5090656280517578,-0.5028705596923828,1,/home/jcho5/goad-global-optimization/runs/Pt100_CO2_seed1_sevennet_omni,2026-06-19T02:32:01.054529,2026-06-19T02:48:48.971169
277,Pt110,isopropanol,1,sevennet_omni,finished,-0.9166793823242188,-0.8204574584960938,1,/home/jcho5/goad-global-optimization/runs/Pt110_isopropanol_seed1_sevennet_omni,2026-06-20T01:57:44.132493,2026-06-20T02:39:19.434471
278,Pt100,CO2,2,sevennet_omni,finished,-0.5056781768798828,-0.5003986358642578,2,/home/jcho5/goad-global-optimization/runs/Pt100_CO2_seed2_sevennet_omni,2026-06-19T02:32:03.407625,2026-06-19T02:48:57.819553
278,Pt110,isopropanol,2,sevennet_omni,finished,-0.9581832885742188,-0.8683700561523438,2,/home/jcho5/goad-global-optimization/runs/Pt110_isopropanol_seed2_sevennet_omni,2026-06-20T01:57:44.129339,2026-06-20T02:39:28.947657
279,Pt100,CO2,3,sevennet_omni,finished,-0.5077838897705078,-0.5014057159423828,3,/home/jcho5/goad-global-optimization/runs/Pt100_CO2_seed3_sevennet_omni,2026-06-19T02:32:03.825486,2026-06-19T02:49:56.745969
279,Pt110,isopropanol,3,sevennet_omni,finished,-0.9697837829589844,-0.7661399841308594,3,/home/jcho5/goad-global-optimization/runs/Pt110_isopropanol_seed3_sevennet_omni,2026-06-20T01:57:44.128866,2026-06-20T02:39:53.438611
280,Pt100,CO2,4,sevennet_omni,finished,-0.5056171417236328,-0.4984760284423828,4,/home/jcho5/goad-global-optimization/runs/Pt100_CO2_seed4_sevennet_omni,2026-06-19T02:32:09.706617,2026-06-19T02:47:52.323886
280,Pt110,isopropanol,4,sevennet_omni,finished,-0.8463706970214844,-0.7411766052246094,4,/home/jcho5/goad-global-optimization/runs/Pt110_isopropanol_seed4_sevennet_omni,2026-06-20T01:57:44.129005,2026-06-20T02:41:03.943321
281,Pt100,CO2,5,sevennet_omni,finished,-0.4982013702392578,-0.4906940460205078,5,/home/jcho5/goad-global-optimization/runs/Pt100_CO2_seed5_sevennet_omni,2026-06-19T02:33:16.011066,2026-06-19T02:48:13.557426
281,Pt110,isopropanol,5,sevennet_omni,finished,-0.9762229919433594,-0.8719139099121094,5,/home/jcho5/goad-global-optimization/runs/Pt110_isopropanol_seed5_sevennet_omni,2026-06-20T01:57:44.124667,2026-06-20T02:38:33.194865
282,Pt100,ethanol,0,sevennet_omni,finished,-0.5592765808105469,-0.5061759948730469,0,/home/jcho5/goad-global-optimization/runs/Pt100_ethanol_seed0_sevennet_omni,2026-06-19T02:33:27.589599,2026-06-19T02:55:00.648742
283,Pt100,ethanol,1,sevennet_omni,finished,-0.6395149230957031,-0.5818977355957031,1,/home/jcho5/goad-global-optimization/runs/Pt100_ethanol_seed1_sevennet_omni,2026-06-19T02:33:36.836711,2026-06-19T02:54:30.352251
284,Pt100,ethanol,2,sevennet_omni,finished,-0.4922637939453125,-0.4719390869140625,2,/home/jcho5/goad-global-optimization/runs/Pt100_ethanol_seed2_sevennet_omni,2026-06-19T02:33:59.517458,2026-06-19T02:55:12.071918
285,Pt100,ethanol,3,sevennet_omni,finished,-0.5654983520507812,-0.5129470825195312,3,/home/jcho5/goad-global-optimization/runs/Pt100_ethanol_seed3_sevennet_omni,2026-06-19T02:34:08.159161,2026-06-19T02:55:57.358608
286,Pt100,ethanol,4,sevennet_omni,finished,-0.5543746948242188,-0.5189437866210938,4,/home/jcho5/goad-global-optimization/runs/Pt100_ethanol_seed4_sevennet_omni,2026-06-19T02:34:10.714156,2026-06-19T02:54:34.009007
287,Pt100,ethanol,5,sevennet_omni,finished,-0.558868408203125,-0.513885498046875,5,/home/jcho5/goad-global-optimization/runs/Pt100_ethanol_seed5_sevennet_omni,2026-06-19T02:34:53.044915,2026-06-19T02:55:47.983855
288,Pt100,ethene,0,sevennet_omni,finished,-1.6071586608886719,-0.9368400573730469,0,/home/jcho5/goad-global-optimization/runs/Pt100_ethene_seed0_sevennet_omni,2026-06-19T02:35:04.263168,2026-06-19T02:52:49.029417
288,Pt100,glycerol,0,sevennet_omni,finished,-0.8965072631835938,-0.8000411987304688,0,/home/jcho5/goad-global-optimization/runs/Pt100_glycerol_seed0_sevennet_omni,2026-06-20T02:08:43.462741,2026-06-20T03:09:51.044817
289,Pt100,ethene,1,sevennet_omni,finished,-1.6130180358886719,-0.9756278991699219,1,/home/jcho5/goad-global-optimization/runs/Pt100_ethene_seed1_sevennet_omni,2026-06-19T02:35:52.513669,2026-06-19T02:54:04.512108
289,Pt100,glycerol,1,sevennet_omni,finished,-0.9191513061523438,-0.7840805053710938,1,/home/jcho5/goad-global-optimization/runs/Pt100_glycerol_seed1_sevennet_omni,2026-06-20T02:08:43.460938,2026-06-20T03:09:18.608508
290,Pt100,ethene,2,sevennet_omni,finished,-1.6062088012695312,-0.9170913696289062,2,/home/jcho5/goad-global-optimization/runs/Pt100_ethene_seed2_sevennet_omni,2026-06-19T02:37:00.517007,2026-06-19T02:55:25.835674
290,Pt100,glycerol,2,sevennet_omni,finished,-0.7017135620117188,-0.5736618041992188,2,/home/jcho5/goad-global-optimization/runs/Pt100_glycerol_seed2_sevennet_omni,2026-06-20T02:08:43.464553,2026-06-20T03:07:24.744196
291,Pt100,ethene,3,sevennet_omni,finished,-1.6110954284667969,-0.9490470886230469,3,/home/jcho5/goad-global-optimization/runs/Pt100_ethene_seed3_sevennet_omni,2026-06-19T02:37:46.893558,2026-06-19T02:56:24.146652
