system_id,molecule,name,metal,facet,group,natoms,n_fixed,gallery_cif,poscar
C2H6_Au111,C2H6,ethane,Au,111,new,44,18,Au111_ethane.cif,dft_jobs/C2H6_Au111/POSCAR
CH3_Au111,CH3,methyl,Au,111,new,40,18,Au111_CH3.cif,dft_jobs/CH3_Au111/POSCAR
CH3CH2OH_Au111,CH3CH2OH,ethanol,Au,111,new,45,18,Au111_ethanol.cif,dft_jobs/CH3CH2OH_Au111/POSCAR
CH3CHO_Au111,CH3CHO,acetaldehyde,Au,111,new,43,18,Au111_acetaldehyde.cif,dft_jobs/CH3CHO_Au111/POSCAR
CH3COOH_Au111,CH3COOH,acetic_acid,Au,111,new,44,18,Au111_acetic_acid.cif,dft_jobs/CH3COOH_Au111/POSCAR
CH3OCH3_Au111,CH3OCH3,DME,Au,111,new,45,18,Au111_DME.cif,dft_jobs/CH3OCH3_Au111/POSCAR
CH3OH_Au111,CH3OH,methanol,Au,111,new,42,18,Au111_methanol.cif,dft_jobs/CH3OH_Au111/POSCAR
CH4_Au111,CH4,methane,Au,111,new,41,18,Au111_CH4.cif,dft_jobs/CH4_Au111/POSCAR
CO_Au111,CO,CO,Au,111,new,38,18,Au111_CO.cif,dft_jobs/CO_Au111/POSCAR
CO2_Au111,CO2,CO2,Au,111,new,67,32,Au111_CO2.cif,dft_jobs/CO2_Au111/POSCAR
H2CO_Au111,H2CO,formaldehyde,Au,111,new,40,18,Au111_formaldehyde.cif,dft_jobs/H2CO_Au111/POSCAR
H2O_Au111,H2O,water,Au,111,new,39,18,Au111_H2O.cif,dft_jobs/H2O_Au111/POSCAR
H2S_Au111,H2S,H2S,Au,111,new,39,18,Au111_H2S.cif,dft_jobs/H2S_Au111/POSCAR
HCOOH_Au111,HCOOH,formic_acid,Au,111,new,41,18,Au111_formic_acid.cif,dft_jobs/HCOOH_Au111/POSCAR
N2_Au111,N2,N2,Au,111,new,38,18,Au111_N2.cif,dft_jobs/N2_Au111/POSCAR
NH3_Au111,NH3,ammonia,Au,111,new,40,18,Au111_NH3.cif,dft_jobs/NH3_Au111/POSCAR
NO_Au111,NO,NO,Au,111,new,38,18,Au111_NO.cif,dft_jobs/NO_Au111/POSCAR
SO2_Au111,SO2,SO2,Au,111,new,39,18,Au111_SO2.cif,dft_jobs/SO2_Au111/POSCAR
C2H4_Ir100,C2H4,ethylene,Ir,100,new,42,18,Ir100_ethylene.cif,dft_jobs/C2H4_Ir100/POSCAR
C2H6_Ir100,C2H6,ethane,Ir,100,new,44,18,Ir100_ethane.cif,dft_jobs/C2H6_Ir100/POSCAR
CH3_Ir100,CH3,methyl,Ir,100,new,40,18,Ir100_CH3_sevennet_omni.cif,dft_jobs/CH3_Ir100/POSCAR
CH3CH2OH_Ir100,CH3CH2OH,ethanol,Ir,100,new,45,18,Ir100_ethanol.cif,dft_jobs/CH3CH2OH_Ir100/POSCAR
CH3CHO_Ir100,CH3CHO,acetaldehyde,Ir,100,new,43,18,Ir100_acetaldehyde.cif,dft_jobs/CH3CHO_Ir100/POSCAR
CH3COOH_Ir100,CH3COOH,acetic_acid,Ir,100,new,44,18,Ir100_acetic_acid.cif,dft_jobs/CH3COOH_Ir100/POSCAR
CH3OCH3_Ir100,CH3OCH3,DME,Ir,100,new,45,18,Ir100_DME.cif,dft_jobs/CH3OCH3_Ir100/POSCAR
CH3OH_Ir100,CH3OH,methanol,Ir,100,new,42,18,Ir100_methanol.cif,dft_jobs/CH3OH_Ir100/POSCAR
CH4_Ir100,CH4,methane,Ir,100,new,41,18,Ir100_CH4_sevennet_omni.cif,dft_jobs/CH4_Ir100/POSCAR
CO_Ir100,CO,CO,Ir,100,new,38,18,Ir100_CO.cif,dft_jobs/CO_Ir100/POSCAR
CO2_Ir100,CO2,CO2,Ir,100,new,39,18,Ir100_CO2.cif,dft_jobs/CO2_Ir100/POSCAR
H2CO_Ir100,H2CO,formaldehyde,Ir,100,new,40,18,Ir100_formaldehyde_sevennet_omni.cif,dft_jobs/H2CO_Ir100/POSCAR
H2O_Ir100,H2O,water,Ir,100,new,39,18,Ir100_H2O.cif,dft_jobs/H2O_Ir100/POSCAR
H2S_Ir100,H2S,H2S,Ir,100,new,39,18,Ir100_H2S_sevennet_omni.cif,dft_jobs/H2S_Ir100/POSCAR
HCOOH_Ir100,HCOOH,formic_acid,Ir,100,new,41,18,Ir100_formic_acid.cif,dft_jobs/HCOOH_Ir100/POSCAR
N2_Ir100,N2,N2,Ir,100,new,38,18,Ir100_N2_sevennet_omni.cif,dft_jobs/N2_Ir100/POSCAR
NH3_Ir100,NH3,ammonia,Ir,100,new,40,18,Ir100_NH3_sevennet_omni.cif,dft_jobs/NH3_Ir100/POSCAR
NO_Ir100,NO,NO,Ir,100,new,38,18,Ir100_NO_sevennet_omni.cif,dft_jobs/NO_Ir100/POSCAR
SO2_Ir100,SO2,SO2,Ir,100,new,39,18,Ir100_SO2_sevennet_omni.cif,dft_jobs/SO2_Ir100/POSCAR
C2H4_Ir110,C2H4,ethylene,Ir,110,new,30,12,Ir110_ethylene.cif,dft_jobs/C2H4_Ir110/POSCAR
C2H6_Ir110,C2H6,ethane,Ir,110,new,32,12,Ir110_ethane.cif,dft_jobs/C2H6_Ir110/POSCAR
CH3_Ir110,CH3,methyl,Ir,110,new,28,12,Ir110_CH3_sevennet_omni.cif,dft_jobs/CH3_Ir110/POSCAR
CH3CH2OH_Ir110,CH3CH2OH,ethanol,Ir,110,new,33,12,Ir110_ethanol.cif,dft_jobs/CH3CH2OH_Ir110/POSCAR
CH3CHO_Ir110,CH3CHO,acetaldehyde,Ir,110,new,31,12,Ir110_acetaldehyde.cif,dft_jobs/CH3CHO_Ir110/POSCAR
CH3COOH_Ir110,CH3COOH,acetic_acid,Ir,110,new,32,12,Ir110_acetic_acid.cif,dft_jobs/CH3COOH_Ir110/POSCAR
CH3OCH3_Ir110,CH3OCH3,DME,Ir,110,new,33,12,Ir110_DME.cif,dft_jobs/CH3OCH3_Ir110/POSCAR
CH3OH_Ir110,CH3OH,methanol,Ir,110,new,30,12,Ir110_methanol_sevennet_omni.cif,dft_jobs/CH3OH_Ir110/POSCAR
CH4_Ir110,CH4,methane,Ir,110,new,29,12,Ir110_CH4_sevennet_omni.cif,dft_jobs/CH4_Ir110/POSCAR
CO_Ir110,CO,CO,Ir,110,new,26,12,Ir110_CO.cif,dft_jobs/CO_Ir110/POSCAR
CO2_Ir110,CO2,CO2,Ir,110,new,27,12,Ir110_CO2.cif,dft_jobs/CO2_Ir110/POSCAR
H2CO_Ir110,H2CO,formaldehyde,Ir,110,new,28,12,Ir110_formaldehyde_sevennet_omni.cif,dft_jobs/H2CO_Ir110/POSCAR
H2O_Ir110,H2O,water,Ir,110,new,27,12,Ir110_H2O.cif,dft_jobs/H2O_Ir110/POSCAR
H2S_Ir110,H2S,H2S,Ir,110,new,27,12,Ir110_H2S_sevennet_omni.cif,dft_jobs/H2S_Ir110/POSCAR
HCOOH_Ir110,HCOOH,formic_acid,Ir,110,new,29,12,Ir110_formic_acid_sevennet_omni.cif,dft_jobs/HCOOH_Ir110/POSCAR
N2_Ir110,N2,N2,Ir,110,new,26,12,Ir110_N2_sevennet_omni.cif,dft_jobs/N2_Ir110/POSCAR
NH3_Ir110,NH3,ammonia,Ir,110,new,28,12,Ir110_NH3_sevennet_omni.cif,dft_jobs/NH3_Ir110/POSCAR
NO_Ir110,NO,NO,Ir,110,new,26,12,Ir110_NO_sevennet_omni.cif,dft_jobs/NO_Ir110/POSCAR
SO2_Ir110,SO2,SO2,Ir,110,new,27,12,Ir110_SO2_sevennet_omni.cif,dft_jobs/SO2_Ir110/POSCAR
C2H4_Ir111,C2H4,ethylene,Ir,111,new,70,32,Ir111_ethylene_sevennet_omni.cif,dft_jobs/C2H4_Ir111/POSCAR
C2H6_Ir111,C2H6,ethane,Ir,111,new,72,32,Ir111_ethane_sevennet_omni.cif,dft_jobs/C2H6_Ir111/POSCAR
CH3_Ir111,CH3,methyl,Ir,111,new,68,32,Ir111_CH3_sevennet_omni.cif,dft_jobs/CH3_Ir111/POSCAR
CH3CH2OH_Ir111,CH3CH2OH,ethanol,Ir,111,new,73,32,Ir111_ethanol_sevennet_omni.cif,dft_jobs/CH3CH2OH_Ir111/POSCAR
CH3CHO_Ir111,CH3CHO,acetaldehyde,Ir,111,new,71,32,Ir111_acetaldehyde_sevennet_omni.cif,dft_jobs/CH3CHO_Ir111/POSCAR
CH3COOH_Ir111,CH3COOH,acetic_acid,Ir,111,new,72,32,Ir111_acetic_acid_sevennet_omni.cif,dft_jobs/CH3COOH_Ir111/POSCAR
CH3OCH3_Ir111,CH3OCH3,DME,Ir,111,new,73,32,Ir111_DME_sevennet_omni.cif,dft_jobs/CH3OCH3_Ir111/POSCAR
CH3OH_Ir111,CH3OH,methanol,Ir,111,new,70,32,Ir111_methanol_sevennet_omni.cif,dft_jobs/CH3OH_Ir111/POSCAR
CH4_Ir111,CH4,methane,Ir,111,new,69,32,Ir111_CH4_sevennet_omni.cif,dft_jobs/CH4_Ir111/POSCAR
CO_Ir111,CO,CO,Ir,111,new,66,32,Ir111_CO_sevennet_omni.cif,dft_jobs/CO_Ir111/POSCAR
CO2_Ir111,CO2,CO2,Ir,111,new,67,32,Ir111_CO2_sevennet_omni.cif,dft_jobs/CO2_Ir111/POSCAR
H2CO_Ir111,H2CO,formaldehyde,Ir,111,new,68,32,Ir111_formaldehyde_sevennet_omni.cif,dft_jobs/H2CO_Ir111/POSCAR
H2O_Ir111,H2O,water,Ir,111,new,67,32,Ir111_H2O_sevennet_omni.cif,dft_jobs/H2O_Ir111/POSCAR
H2S_Ir111,H2S,H2S,Ir,111,new,67,32,Ir111_H2S_sevennet_omni.cif,dft_jobs/H2S_Ir111/POSCAR
HCOOH_Ir111,HCOOH,formic_acid,Ir,111,new,69,32,Ir111_formic_acid_sevennet_omni.cif,dft_jobs/HCOOH_Ir111/POSCAR
N2_Ir111,N2,N2,Ir,111,new,66,32,Ir111_N2_sevennet_omni.cif,dft_jobs/N2_Ir111/POSCAR
NH3_Ir111,NH3,ammonia,Ir,111,new,68,32,Ir111_NH3_sevennet_omni.cif,dft_jobs/NH3_Ir111/POSCAR
NO_Ir111,NO,NO,Ir,111,new,66,32,Ir111_NO_sevennet_omni.cif,dft_jobs/NO_Ir111/POSCAR
SO2_Ir111,SO2,SO2,Ir,111,new,67,32,Ir111_SO2_sevennet_omni.cif,dft_jobs/SO2_Ir111/POSCAR
C2H4_Rh100,C2H4,ethylene,Rh,100,new,42,18,Rh100_ethylene_sevennet_omni.cif,dft_jobs/C2H4_Rh100/POSCAR
C2H6_Rh100,C2H6,ethane,Rh,100,new,44,18,Rh100_ethane_sevennet_omni.cif,dft_jobs/C2H6_Rh100/POSCAR
CH3_Rh100,CH3,methyl,Rh,100,new,40,18,Rh100_CH3_sevennet_omni.cif,dft_jobs/CH3_Rh100/POSCAR
CH3CH2OH_Rh100,CH3CH2OH,ethanol,Rh,100,new,45,18,Rh100_ethanol_sevennet_omni.cif,dft_jobs/CH3CH2OH_Rh100/POSCAR
CH3CHO_Rh100,CH3CHO,acetaldehyde,Rh,100,new,43,18,Rh100_acetaldehyde_sevennet_omni.cif,dft_jobs/CH3CHO_Rh100/POSCAR
CH3COOH_Rh100,CH3COOH,acetic_acid,Rh,100,new,44,18,Rh100_acetic_acid_sevennet_omni.cif,dft_jobs/CH3COOH_Rh100/POSCAR
CH3OCH3_Rh100,CH3OCH3,DME,Rh,100,new,45,18,Rh100_DME_sevennet_omni.cif,dft_jobs/CH3OCH3_Rh100/POSCAR
CH3OH_Rh100,CH3OH,methanol,Rh,100,new,42,18,Rh100_methanol_sevennet_omni.cif,dft_jobs/CH3OH_Rh100/POSCAR
CH4_Rh100,CH4,methane,Rh,100,new,41,18,Rh100_CH4_sevennet_omni.cif,dft_jobs/CH4_Rh100/POSCAR
CO_Rh100,CO,CO,Rh,100,new,38,18,Rh100_CO_sevennet_omni.cif,dft_jobs/CO_Rh100/POSCAR
CO2_Rh100,CO2,CO2,Rh,100,new,39,18,Rh100_CO2_sevennet_omni.cif,dft_jobs/CO2_Rh100/POSCAR
H2CO_Rh100,H2CO,formaldehyde,Rh,100,new,40,18,Rh100_formaldehyde_sevennet_omni.cif,dft_jobs/H2CO_Rh100/POSCAR
H2O_Rh100,H2O,water,Rh,100,new,39,18,Rh100_H2O_sevennet_omni.cif,dft_jobs/H2O_Rh100/POSCAR
H2S_Rh100,H2S,H2S,Rh,100,new,39,18,Rh100_H2S_sevennet_omni.cif,dft_jobs/H2S_Rh100/POSCAR
HCOOH_Rh100,HCOOH,formic_acid,Rh,100,new,41,18,Rh100_formic_acid_sevennet_omni.cif,dft_jobs/HCOOH_Rh100/POSCAR
N2_Rh100,N2,N2,Rh,100,new,38,18,Rh100_N2_sevennet_omni.cif,dft_jobs/N2_Rh100/POSCAR
NH3_Rh100,NH3,ammonia,Rh,100,new,40,18,Rh100_NH3_sevennet_omni.cif,dft_jobs/NH3_Rh100/POSCAR
NO_Rh100,NO,NO,Rh,100,new,38,18,Rh100_NO_sevennet_omni.cif,dft_jobs/NO_Rh100/POSCAR
SO2_Rh100,SO2,SO2,Rh,100,new,39,18,Rh100_SO2_sevennet_omni.cif,dft_jobs/SO2_Rh100/POSCAR
C2H4_Rh110,C2H4,ethylene,Rh,110,new,30,12,Rh110_ethylene_sevennet_omni.cif,dft_jobs/C2H4_Rh110/POSCAR
C2H6_Rh110,C2H6,ethane,Rh,110,new,32,12,Rh110_ethane_sevennet_omni.cif,dft_jobs/C2H6_Rh110/POSCAR
CH3_Rh110,CH3,methyl,Rh,110,new,28,12,Rh110_CH3_sevennet_omni.cif,dft_jobs/CH3_Rh110/POSCAR
CH3CH2OH_Rh110,CH3CH2OH,ethanol,Rh,110,new,33,12,Rh110_ethanol_sevennet_omni.cif,dft_jobs/CH3CH2OH_Rh110/POSCAR
CH3CHO_Rh110,CH3CHO,acetaldehyde,Rh,110,new,31,12,Rh110_acetaldehyde_sevennet_omni.cif,dft_jobs/CH3CHO_Rh110/POSCAR
CH3COOH_Rh110,CH3COOH,acetic_acid,Rh,110,new,32,12,Rh110_acetic_acid_sevennet_omni.cif,dft_jobs/CH3COOH_Rh110/POSCAR
CH3OCH3_Rh110,CH3OCH3,DME,Rh,110,new,33,12,Rh110_DME_sevennet_omni.cif,dft_jobs/CH3OCH3_Rh110/POSCAR
CH3OH_Rh110,CH3OH,methanol,Rh,110,new,30,12,Rh110_methanol_sevennet_omni.cif,dft_jobs/CH3OH_Rh110/POSCAR
CH4_Rh110,CH4,methane,Rh,110,new,29,12,Rh110_CH4_sevennet_omni.cif,dft_jobs/CH4_Rh110/POSCAR
CO_Rh110,CO,CO,Rh,110,new,26,12,Rh110_CO_sevennet_omni.cif,dft_jobs/CO_Rh110/POSCAR
